번호,측정망,도시,측정지점,지역,측정연도,분기,주간9시,주간12시,주간16시,주간20시,주간평균,야간23시,야간01시,야간평균
1,중앙,서울특별시,조계사 후문 앞,일반,2024,1,60.9,62.9,58.6,53.4,59,51.2,46.9,49
2,중앙,서울특별시,조계사 후문 앞,일반,2024,2,62,65.4,60.7,55.2,61,52.5,45,49
3,중앙,서울특별시,조계사 후문 앞,일반,2024,3,59.5,61.5,77.3,57.7,64,53.5,51.8,53
4,중앙,서울특별시,조계사 후문 앞,일반,2024,4,61.8,64.1,60.3,59.6,62,54,57.1,56
5,중앙,서울특별시,광화문한의원,일반,2024,1,57.8,63.2,60.1,59.6,60,55.3,55.1,55
6,중앙,서울특별시,광화문한의원,일반,2024,2,57,63.2,60.2,63.6,61,54.1,52.5,53
7,중앙,서울특별시,광화문한의원,일반,2024,3,59.9,63.8,78.2,57.7,65,52.9,51.3,52
8,중앙,서울특별시,광화문한의원,일반,2024,4,57,65.7,61.8,54.8,60,54.5,49.3,52
9,중앙,서울특별시,동산불교회관,일반,2024,1,57.7,58.3,56.2,57,57,51.7,50.8,51
10,중앙,서울특별시,동산불교회관,일반,2024,2,56.2,58.6,57,54.2,57,51.2,49.8,51
11,중앙,서울특별시,동산불교회관,일반,2024,3,59.2,61,78.7,55.4,64,54.1,52.8,53
12,중앙,서울특별시,동산불교회관,일반,2024,4,87.1,58.9,57.2,56,65,51.5,55.8,54
13,중앙,서울특별시,우정에쉐르,도로,2024,1,71.1,70.9,70.3,68.7,70,68.1,64.7,66
14,중앙,서울특별시,우정에쉐르,도로,2024,2,72.4,76.6,73.1,71.3,73,68.9,65.7,67
15,중앙,서울특별시,우정에쉐르,도로,2024,3,71.6,71.7,79.1,70.9,73,68.1,63.5,66
16,중앙,서울특별시,우정에쉐르,도로,2024,4,72.2,71.2,72.5,70.6,72,67.1,68,68
17,중앙,서울특별시,동덕빌딩 앞,도로,2024,1,68.6,68.8,68.4,68.1,69,67.3,62.7,65
18,중앙,서울특별시,동덕빌딩 앞,도로,2024,2,68.9,70.7,70.6,73.4,71,67,63.8,65
19,중앙,서울특별시,동덕빌딩 앞,도로,2024,3,68.1,69.5,81.1,69.5,72,66.9,61.8,64
20,중앙,서울특별시,동덕빌딩 앞,도로,2024,4,71.5,69.8,71.9,70.5,71,66.2,67.7,67
21,중앙,서울특별시,자라 앞,일반,2024,1,65.7,70,68.1,69.1,68,67.1,60.2,64
22,중앙,서울특별시,자라 앞,일반,2024,2,67.9,67.7,68.7,70.7,69,67.2,57.2,62
23,중앙,서울특별시,자라 앞,일반,2024,3,61.7,64.7,67,66.7,65,64.4,55.8,60
24,중앙,서울특별시,자라 앞,일반,2024,4,67,70.7,69.3,64.9,68,60.1,59.9,60
25,중앙,서울특별시,명동 오다헤어,일반,2024,1,61,70.4,74.1,74.1,70,66.8,66.6,67
26,중앙,서울특별시,명동 오다헤어,일반,2024,2,59.9,70.2,73.3,73.5,69,66.3,63.2,65
27,중앙,서울특별시,명동 오다헤어,일반,2024,3,58.9,69.8,79.6,72,70,65.6,62.2,64
28,중앙,서울특별시,명동 오다헤어,일반,2024,4,72.6,72.1,71.4,72.2,72,70.5,68.9,70
29,중앙,서울특별시,우리은행 앞(중구),일반,2024,1,64.9,66.9,66.6,66.7,66,65.4,62.1,64
30,중앙,서울특별시,우리은행 앞(중구),일반,2024,2,62.8,74.7,67.8,68.9,69,66.4,60.5,63
31,중앙,서울특별시,우리은행 앞(중구),일반,2024,3,61.8,68.1,81.7,69.5,70,65.2,60.2,63
32,중앙,서울특별시,우리은행 앞(중구),일반,2024,4,63.4,64.5,74.5,60.8,66,63.6,61.3,62
33,중앙,서울특별시,중앙우체국 앞,도로,2024,1,74,72.8,72.6,70.6,73,70.5,67.9,69
34,중앙,서울특별시,중앙우체국 앞,도로,2024,2,72.7,72.5,72.5,70.2,72,72.1,68.5,70
35,중앙,서울특별시,중앙우체국 앞,도로,2024,3,73.2,72.3,73.7,73.8,73,71.1,67.9,70
36,중앙,서울특별시,중앙우체국 앞,도로,2024,4,74.6,73.7,74.4,71,73,70.6,60,65
37,중앙,서울특별시,명동밀리오레쇼핑몰 앞,도로,2024,1,70.9,73.2,72.7,71,72,71.7,70,71
38,중앙,서울특별시,명동밀리오레쇼핑몰 앞,도로,2024,2,72.7,70.8,72.3,71.2,72,70.9,69.7,70
39,중앙,서울특별시,명동밀리오레쇼핑몰 앞,도로,2024,3,79,78.2,79.2,78.8,79,77.2,76.2,77
40,중앙,서울특별시,명동밀리오레쇼핑몰 앞,도로,2024,4,65.7,70.9,74.1,74.8,71,69.4,63.8,67
41,중앙,서울특별시,크라운호텔 앞,도로,2024,1,80.9,78.8,80.8,80.2,80,79.1,76.5,78
42,중앙,서울특별시,크라운호텔 앞,도로,2024,2,78.1,78.6,79.1,78.6,79,78.3,75.4,77
43,중앙,서울특별시,크라운호텔 앞,도로,2024,3,79.5,78.9,84.1,80.3,81,80.2,76.8,79
44,중앙,서울특별시,크라운호텔 앞,도로,2024,4,79.9,78.9,78.6,78.5,79,79,75.4,77
45,중앙,서울특별시,스타벅스 앞,도로,2024,1,74.4,77.2,72.5,74.2,75,73.3,71,72
46,중앙,서울특별시,스타벅스 앞,도로,2024,2,71.3,69.4,69.4,74.4,71,74.3,69.9,72
47,중앙,서울특별시,스타벅스 앞,도로,2024,3,73.4,71.4,80.2,71.9,74,73.2,71.7,72
48,중앙,서울특별시,스타벅스 앞,도로,2024,4,70.7,73.4,70.1,70.6,71,72.4,70.6,72
49,중앙,서울특별시,백해영갤러리,일반,2024,2,61.6,61.8,63.2,60.8,62,57.1,57.3,57
50,중앙,서울특별시,백해영갤러리,일반,2024,3,65.1,67.8,80,62.2,69,59.1,56.5,58
51,중앙,서울특별시,백해영갤러리,일반,2024,4,60.2,68,63.7,60,63,58.7,53,56
52,중앙,서울특별시,인도대사관저,일반,2024,2,57.6,59,57.4,60.7,59,54.5,49.3,52
53,중앙,서울특별시,인도대사관저,일반,2024,3,58.3,58.4,77.7,58.7,63,54.2,53.6,54
54,중앙,서울특별시,인도대사관저,일반,2024,4,56.7,58.5,58.7,57.2,58,56.7,49.7,53
55,중앙,서울특별시,주한벨기에대사관,일반,2024,2,60.4,62,57.8,56.3,59,52.3,51.9,52
56,중앙,서울특별시,주한벨기에대사관,일반,2024,3,66.1,70.4,87.7,63.4,72,60,60.9,60
57,중앙,서울특별시,주한벨기에대사관,일반,2024,4,59.1,58.4,58.7,56.4,58,49.8,48.6,49
58,중앙,서울특별시,성수종로약국,일반,2024,1,66.6,68,65.3,64.9,66,64.6,59.5,62
59,중앙,서울특별시,성수종로약국,일반,2024,2,68.3,67.6,64.9,63.3,66,65.2,55.5,60
60,중앙,서울특별시,성수종로약국,일반,2024,3,63.8,64.2,63.4,62.3,63,59.3,55.4,57
61,중앙,서울특별시,성수종로약국,일반,2024,4,63.8,66.4,66.8,62.3,65,59.4,56.5,58
62,중앙,서울특별시,현대자동차 동부사업소앞,일반,2024,1,65,66,65.5,62.3,65,60.8,58.7,60
63,중앙,서울특별시,현대자동차 동부사업소앞,일반,2024,2,62.5,64.7,64.6,62.8,64,61,57.4,59
64,중앙,서울특별시,현대자동차 동부사업소앞,일반,2024,3,65.2,64.3,63.9,61.5,64,60.4,54.6,58
65,중앙,서울특별시,현대자동차 동부사업소앞,일반,2024,4,62.7,64.9,65.4,62.2,64,60.2,55,58
66,중앙,서울특별시,우란문화재단,일반,2024,1,66,67,67.2,66,67,65,61.9,63
67,중앙,서울특별시,우란문화재단,일반,2024,2,63.9,66.1,65.7,65,65,64.2,56.5,60
68,중앙,서울특별시,우란문화재단,일반,2024,3,57.8,63,61.7,58.6,60,57.6,49.5,54
69,중앙,서울특별시,우란문화재단,일반,2024,4,64.5,66.9,65.2,65.9,66,61.9,57,60
70,중앙,서울특별시,제일빌딩,도로,2024,1,63.3,68.8,65.7,65.5,66,63.4,55.8,60
71,중앙,서울특별시,제일빌딩,도로,2024,2,65.1,67.3,68.1,68,67,66.5,66.1,66
72,중앙,서울특별시,제일빌딩,도로,2024,3,72.3,74.3,73.2,75.8,74,72.1,69.8,71
73,중앙,서울특별시,제일빌딩,도로,2024,4,68.2,67.9,66.1,67.2,67,66.5,60.9,64
74,중앙,서울특별시,대림창고 앞,도로,2024,1,66.4,64.6,65.7,62.7,65,62.6,59.1,61
75,중앙,서울특별시,대림창고 앞,도로,2024,2,64.3,64.9,64.2,64.3,64,63,60.6,62
76,중앙,서울특별시,대림창고 앞,도로,2024,3,74.9,73.1,74.1,74.4,74,73.6,68.3,71
77,중앙,서울특별시,대림창고 앞,도로,2024,4,67,66.1,65.8,64.2,66,62.5,59.6,61
78,중앙,서울특별시,경희약국 앞,일반,2024,1,60.4,61.1,59.8,59.3,60,62.7,52.8,58
79,중앙,서울특별시,경희약국 앞,일반,2024,2,60.2,60.5,62.8,59.3,61,58.1,54.2,56
80,중앙,서울특별시,경희약국 앞,일반,2024,3,58.7,61.7,69.5,60.2,63,58.5,53.3,56
81,중앙,서울특별시,경희약국 앞,일반,2024,4,60.4,62,62,60.2,61,58.1,53.7,56
82,중앙,서울특별시,연화사 앞,일반,2024,1,60.1,55.7,59.6,49.2,56,49.5,48.7,49
83,중앙,서울특별시,연화사 앞,일반,2024,2,57.9,57.8,60.8,53.3,57,52.5,51.1,52
84,중앙,서울특별시,연화사 앞,일반,2024,3,57.3,57,59.1,55.3,57,52.8,53.3,53
85,중앙,서울특별시,연화사 앞,일반,2024,4,60.3,56.7,60.5,54.3,58,54.6,53,54
86,중앙,서울특별시,로이드 앞,도로,2024,1,72.5,72,69.8,70.8,71,67.9,64.4,66
87,중앙,서울특별시,로이드 앞,도로,2024,2,70.7,70.7,71,71.1,71,70.6,65.7,68
88,중앙,서울특별시,로이드 앞,도로,2024,3,69.7,79.2,70.2,69.9,72,69.4,63.6,67
89,중앙,서울특별시,로이드 앞,도로,2024,4,74,76.4,74.3,70.3,74,70.9,71.3,71
90,중앙,서울특별시,경희대정문 옆,도로,2024,1,67.5,68,67.2,64,67,59.7,54,57
91,중앙,서울특별시,경희대정문 옆,도로,2024,2,65.2,66.3,65.5,65.4,66,61.1,59.1,60
92,중앙,서울특별시,경희대정문 옆,도로,2024,3,65.1,66.9,81.1,62.9,69,60.2,56.6,58
93,중앙,서울특별시,경희대정문 옆,도로,2024,4,70.9,69.2,66.2,64.1,68,62.5,61.5,62
94,중앙,서울특별시,경희아트빌라,일반,2024,2,52.5,56.3,53.9,53,54,49.6,46.2,48
95,중앙,서울특별시,경희아트빌라,일반,2024,3,57.5,60.2,60,58.1,59,53.4,51.6,53
96,중앙,서울특별시,경희아트빌라,일반,2024,4,54,57.9,55.9,56,56,49.9,49,50
97,중앙,서울특별시,스웨덴대사관 앞,일반,2024,1,52,55.5,52.3,48.2,52,37.5,42,40
98,중앙,서울특별시,스웨덴대사관 앞,일반,2024,2,53.4,56.1,53.2,48.2,53,40.7,30.4,36
99,중앙,서울특별시,스웨덴대사관 앞,일반,2024,3,53.4,52.6,68.1,49.5,56,45.8,37.5,42
100,중앙,서울특별시,스웨덴대사관 앞,일반,2024,4,56.2,56.3,51.8,51.2,54,38,58.8,48
101,중앙,서울특별시,호주대사관저 앞,일반,2024,1,51,51.5,52.2,45.8,50,38.1,44.9,42
102,중앙,서울특별시,호주대사관저 앞,일반,2024,2,48.8,51.7,51.8,42,49,41.6,27.7,35
103,중앙,서울특별시,호주대사관저 앞,일반,2024,3,51.5,50.3,68.7,50.2,55,30.6,38.6,35
104,중앙,서울특별시,호주대사관저 앞,일반,2024,4,47,52.9,47.4,49.4,49,46.1,45.1,46
105,중앙,서울특별시,제일퍼크로크리닝앞,일반,2024,1,58.9,57.4,56.1,53.7,57,51.9,46.4,49
106,중앙,서울특별시,제일퍼크로크리닝앞,일반,2024,2,57.7,57,69.3,56.7,60,52.9,52,52
107,중앙,서울특별시,제일퍼크로크리닝앞,일반,2024,3,59.2,59.6,69.8,55.9,61,52.6,56.7,55
108,중앙,서울특별시,제일퍼크로크리닝앞,일반,2024,4,61.1,62.1,58,57.3,60,52.7,53.9,53
109,중앙,서울특별시,쌍다리기사식당 앞,도로,2024,1,67.3,67.3,67.2,65,67,63.3,52.1,58
110,중앙,서울특별시,쌍다리기사식당 앞,도로,2024,2,67.8,67.4,66.5,64.5,67,62.9,50.7,57
111,중앙,서울특별시,쌍다리기사식당 앞,도로,2024,3,69.2,69.9,73.8,68,70,62.8,55.1,59
112,중앙,서울특별시,쌍다리기사식당 앞,도로,2024,4,71.9,70.6,69,67.3,70,64.7,52.2,58
113,중앙,서울특별시,작은갤러리,도로,2024,1,60.9,61.3,60.8,60.2,61,58.9,46.7,53
114,중앙,서울특별시,작은갤러리,도로,2024,2,61.2,61,61.4,59.4,61,59.3,45.9,53
115,중앙,서울특별시,작은갤러리,도로,2024,3,61.2,61.9,72.9,59.9,64,58.9,49.1,54
116,중앙,서울특별시,작은갤러리,도로,2024,4,65.6,63.7,62.2,60.8,63,57.1,53.2,55
117,중앙,서울특별시,농협 맞은편,일반,2024,1,68.3,65.4,70.4,62.1,67,60.9,57.6,59
118,중앙,서울특별시,농협 맞은편,일반,2024,2,65.5,64.1,63.5,63.3,64,61.8,58.2,60
